"RANK","NAME","TEAM","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Dante Exum","Dal","G","29.6","4","18.7","24.8","12.7","10","0.7","22","0.545","12","0.417","0.574","0.599","11.5","1.3","3.3","0.8","0","1.3","12.8","14.8","16","7.8","119.1","112"
"","Trayce Jackson-Davis","Gol","F","25","47","19.2","16.5","12.3","86","0.605","277","0.57","1","0","0.568","0.583","7.8","6.1","2.1","0.5","0.7","0.8","13.9","9.9","16","9.7","123.2","108.1"
"","Julian Champagnie","San","F","23.6","48","25.3","17","10.6","51","0.902","109","0.56","304","0.365","0.551","0.575","10.4","4.2","1.2","0.8","0.5","1","14.7","11.7","15.9","5.9","109.8","112.4"
"","Duncan Robinson","Mia","F","30.8","47","24.1","19.4","10.8","38","0.895","119","0.529","310","0.377","0.556","0.573","10.9","2.4","2.6","0.5","0.1","1.1","13.3","13.5","15.9","6.8","111","109.4"
"","Zaccharie Risacher","Atl","F","19.8","44","23.9","20.6","10.1","98","0.694","252","0.5","186","0.306","0.483","0.51","11.2","3.5","1.2","0.8","0.5","1.1","14.6","12.4","15.8","6","102.5","111.5"
"","Luguentz Dort","Okc","G","25.8","47","29","13.5","8","39","0.821","121","0.438","260","0.415","0.564","0.58","9.8","4.3","1.7","1.1","0.7","0.7","14.1","11.5","15.8","5.7","120.7","100.6"
"","Jose Alvarado","Nor","G","26.8","27","22.2","18.4","12.6","34","0.794","71","0.394","144","0.41","0.542","0.565","9.6","2","4.1","1.3","0.3","1.1","11.6","13.7","15.7","7.7","118.2","114.7"
"","Patrick Williams","Chi","F","23.5","42","26.7","17","13.3","61","0.77","177","0.407","194","0.351","0.469","0.496","9.4","4.2","2.2","0.8","0.6","1.4","13.6","11.6","15.7","6.6","98.4","116.2"
"","Caleb Martin","Phi","F","29.4","31","30.4","14.4","15.6","74","0.622","145","0.469","87","0.379","0.506","0.531","9.1","4.4","2.3","1.1","0.6","1.4","13.5","11.3","15.7","5.9","107","113.1"
"","Day'Ron Sharpe","Bro","C","23.3","29","17.4","21","16","52","0.769","153","0.569","30","0.2","0.525","0.563","8","6","1.5","0.8","0.6","1.2","14","9.5","15.6","9.6","115.8","103.9"
"","Ochai Agbaji","Tor","G","24.8","45","27.8","13.8","8.6","32","0.656","188","0.617","174","0.408","0.615","0.62","10.4","3.6","1.6","0.9","0.6","0.8","14","12","15.6","5.6","120.3","115.3"
